group,concept
basic_explicit,airplane
basic_explicit,arm
basic_explicit,armchair
basic_explicit,ashtray
basic_explicit,back
basic_explicit,baking_tray
basic_explicit,balcony
basic_explicit,ball
basic_explicit,basil
basic_explicit,bathroom
basic_explicit,bear
basic_explicit,bed
basic_explicit,bedroom
basic_explicit,bedside_table
basic_explicit,belly
basic_explicit,bicycle
basic_explicit,board_game
basic_explicit,book
basic_explicit,bookcase
basic_explicit,brain
basic_explicit,bread
basic_explicit,bus
basic_explicit,cactus
basic_explicit,candelabrum
basic_explicit,car
basic_explicit,cards
basic_explicit,carpet
basic_explicit,carriage
basic_explicit,cat
basic_explicit,cd
basic_explicit,ceiling
basic_explicit,centerpiece
basic_explicit,cereal
basic_explicit,chair
basic_explicit,chandelier
basic_explicit,cheese
basic_explicit,cherry_tree
basic_explicit,chest_of_drawers
basic_explicit,chocolate
basic_explicit,clock
basic_explicit,coat
basic_explicit,coat_rack
basic_explicit,colander
basic_explicit,column
basic_explicit,computer
basic_explicit,correction_fluid
basic_explicit,cow
basic_explicit,crayon
basic_explicit,crossword
basic_explicit,cupboard
basic_explicit,curtain
basic_explicit,cushion
basic_explicit,cutting_board
basic_explicit,cyclamen
basic_explicit,daisy
basic_explicit,desk
basic_explicit,dog
basic_explicit,dolphin
basic_explicit,door
basic_explicit,dresser
basic_explicit,ear
basic_explicit,egg
basic_explicit,elephant
basic_explicit,eraser
basic_explicit,eye
basic_explicit,ferry
basic_explicit,ficus
basic_explicit,fir
basic_explicit,fish
basic_explicit,floor
basic_explicit,flower_box
basic_explicit,foot
basic_explicit,fork
basic_explicit,frame
basic_explicit,fruit
basic_explicit,frying_pan
basic_explicit,geranium
basic_explicit,giraffe
basic_explicit,glass
basic_explicit,gloves
basic_explicit,glue
basic_explicit,guitar
basic_explicit,hair
basic_explicit,hand
basic_explicit,hat
basic_explicit,head
basic_explicit,heart
basic_explicit,helicopter
basic_explicit,highlighter
basic_explicit,horse
basic_explicit,ivy
basic_explicit,jacket
basic_explicit,kitchen
basic_explicit,knife
basic_explicit,ladle
basic_explicit,lamp
basic_explicit,leg
basic_explicit,legume
basic_explicit,lion
basic_explicit,living_room
basic_explicit,lizard
basic_explicit,meat
basic_explicit,milk
basic_explicit,mimosa
basic_explicit,mirror
basic_explicit,monkey
basic_explicit,motorcycle
basic_explicit,mouse
basic_explicit,mouth
basic_explicit,neck
basic_explicit,newspaper
basic_explicit,nose
basic_explicit,notebook
basic_explicit,oak
basic_explicit,olive_tree
basic_explicit,orchid
basic_explicit,paintbrush
basic_explicit,painting
basic_explicit,paperclip
basic_explicit,pasta
basic_explicit,pen
basic_explicit,pencil
basic_explicit,pencil_case
basic_explicit,pencil_sharpener
basic_explicit,photo_frame
basic_explicit,photograph
basic_explicit,pig
basic_explicit,pine
basic_explicit,pizza
basic_explicit,planner
basic_explicit,plate
basic_explicit,player
basic_explicit,pot
basic_explicit,rabbit
basic_explicit,racket
basic_explicit,rice
basic_explicit,roof
basic_explicit,rooster
basic_explicit,rose
basic_explicit,ruler
basic_explicit,salad
basic_explicit,scarf
basic_explicit,scissors
basic_explicit,scooter
basic_explicit,screw
basic_explicit,sheet
basic_explicit,ship
basic_explicit,shirt
basic_explicit,shoe
basic_explicit,shoulder
basic_explicit,skirt
basic_explicit,snake
basic_explicit,sock
basic_explicit,sofa
basic_explicit,spoon
basic_explicit,staircase
basic_explicit,stapler
basic_explicit,storage_room
basic_explicit,sunflower
basic_explicit,sweater
basic_explicit,sweatshirt
basic_explicit,t-shirt
basic_explicit,table
basic_explicit,tank_top
basic_explicit,tape_measure
basic_explicit,television
basic_explicit,terrace
basic_explicit,tiger
basic_explicit,tool
basic_explicit,tractor
basic_explicit,train
basic_explicit,tram
basic_explicit,trousers
basic_explicit,truck
basic_explicit,tulip
basic_explicit,underwear
basic_explicit,van
basic_explicit,vase
basic_explicit,vegetable
basic_explicit,vest
basic_explicit,video_game
basic_explicit,wall
basic_explicit,wardrobe
basic_explicit,willow
basic_explicit,window
