group,concept
basic_implicit,airplane
basic_implicit,arm
basic_implicit,armchair
basic_implicit,ashtray
basic_implicit,back
basic_implicit,baking_tray
basic_implicit,balcony
basic_implicit,ball
basic_implicit,basil
basic_implicit,bathroom
basic_implicit,bear
basic_implicit,bed
basic_implicit,bedroom
basic_implicit,bedside_table
basic_implicit,belly
basic_implicit,bicycle
basic_implicit,board_game
basic_implicit,book
basic_implicit,bookcase
basic_implicit,brain
basic_implicit,bread
basic_implicit,bus
basic_implicit,cactus
basic_implicit,candelabrum
basic_implicit,car
basic_implicit,cards
basic_implicit,carpet
basic_implicit,carriage
basic_implicit,cat
basic_implicit,cd
basic_implicit,ceiling
basic_implicit,centerpiece
basic_implicit,cereal
basic_implicit,chair
basic_implicit,chandelier
basic_implicit,cheese
basic_implicit,cherry_tree
basic_implicit,chest_of_drawers
basic_implicit,chocolate
basic_implicit,clock
basic_implicit,coat
basic_implicit,coat_rack
basic_implicit,colander
basic_implicit,column
basic_implicit,computer
basic_implicit,correction_fluid
basic_implicit,cow
basic_implicit,crayon
basic_implicit,crossword
basic_implicit,cupboard
basic_implicit,curtain
basic_implicit,cushion
basic_implicit,cutting_board
basic_implicit,cyclamen
basic_implicit,daisy
basic_implicit,desk
basic_implicit,dog
basic_implicit,dolphin
basic_implicit,door
basic_implicit,dresser
basic_implicit,ear
basic_implicit,egg
basic_implicit,elephant
basic_implicit,eraser
basic_implicit,eye
basic_implicit,ferry
basic_implicit,ficus
basic_implicit,fir
basic_implicit,fish
basic_implicit,floor
basic_implicit,flower_box
basic_implicit,foot
basic_implicit,fork
basic_implicit,frame
basic_implicit,fruit
basic_implicit,frying_pan
basic_implicit,geranium
basic_implicit,giraffe
basic_implicit,glass
basic_implicit,gloves
basic_implicit,glue
basic_implicit,guitar
basic_implicit,hair
basic_implicit,hand
basic_implicit,hat
basic_implicit,head
basic_implicit,heart
basic_implicit,helicopter
basic_implicit,highlighter
basic_implicit,horse
basic_implicit,ivy
basic_implicit,jacket
basic_implicit,kitchen
basic_implicit,knife
basic_implicit,ladle
basic_implicit,lamp
basic_implicit,leg
basic_implicit,legume
basic_implicit,lion
basic_implicit,living_room
basic_implicit,lizard
basic_implicit,meat
basic_implicit,milk
basic_implicit,mimosa
basic_implicit,mirror
basic_implicit,monkey
basic_implicit,motorcycle
basic_implicit,mouse
basic_implicit,mouth
basic_implicit,neck
basic_implicit,newspaper
basic_implicit,nose
basic_implicit,notebook
basic_implicit,oak
basic_implicit,olive_tree
basic_implicit,orchid
basic_implicit,paintbrush
basic_implicit,painting
basic_implicit,paperclip
basic_implicit,pasta
basic_implicit,pen
basic_implicit,pencil
basic_implicit,pencil_case
basic_implicit,pencil_sharpener
basic_implicit,photo_frame
basic_implicit,photograph
basic_implicit,pig
basic_implicit,pine
basic_implicit,pizza
basic_implicit,planner
basic_implicit,plate
basic_implicit,player
basic_implicit,pot
basic_implicit,rabbit
basic_implicit,racket
basic_implicit,rice
basic_implicit,roof
basic_implicit,rooster
basic_implicit,rose
basic_implicit,ruler
basic_implicit,salad
basic_implicit,scarf
basic_implicit,scissors
basic_implicit,scooter
basic_implicit,screw
basic_implicit,sheet
basic_implicit,ship
basic_implicit,shirt
basic_implicit,shoe
basic_implicit,shoulder
basic_implicit,skirt
basic_implicit,snake
basic_implicit,sock
basic_implicit,sofa
basic_implicit,spoon
basic_implicit,staircase
basic_implicit,stapler
basic_implicit,storage_room
basic_implicit,sunflower
basic_implicit,sweater
basic_implicit,sweatshirt
basic_implicit,t-shirt
basic_implicit,table
basic_implicit,tank_top
basic_implicit,tape_measure
basic_implicit,television
basic_implicit,terrace
basic_implicit,tiger
basic_implicit,tool
basic_implicit,tractor
basic_implicit,train
basic_implicit,tram
basic_implicit,trousers
basic_implicit,truck
basic_implicit,tulip
basic_implicit,underwear
basic_implicit,van
basic_implicit,vase
basic_implicit,vegetable
basic_implicit,vest
basic_implicit,video_game
basic_implicit,wall
basic_implicit,wardrobe
basic_implicit,willow
basic_implicit,window
